order_id,order_date,customer_id,customer_type,region,sales_channel,product,category,quantity,unit_price,unit_cost,discount_pct,shipping_cost,payment_method,status
10041,2026-07-21,C1240,B2B,CZ-Central,Partner,Webcam,Accessories,2.0,2618.0,1333.0,0.1,178.0,Bank Transfer,Completed
10042,2026-04-20,C1203,B2C,SK-West,Partner,Laptop Air 13,Electronics,5.0,21043.0,17158.0,0.05,0.0,Invoice,Returned
10043,2026-04-14,C1179,B2B,SK-West,Partner,Office Chair,Furniture,2.0,5980.0,3992.0,0.0,527.0,Bank Transfer,Cancelled
10044,2026-02-13,C1238,B2B,CZ-East,Online,,Furniture,5.0,5959.0,3533.0,0.1,358.0,Card,Completed
10045,2026-02-01,C1280,B2C,,Sales Rep,Webcam,Accessories,1.0,2248.0,1293.0,0.1,216.0,Invoice,Completed
10046,2026-01-30,C1081,B2C,SK-East,Sales Rep,Office Chair,Furniture,3.0,6694.0,4034.0,0.2,398.0,Card,Completed
10047,2026-05-04,C1205,B2C,CZ-East,Online,Office Chair,Furniture,1.0,6240.0,4104.0,0.15,145.0,Bank Transfer,Completed
10048,2026-04-19,C1205,B2B,SK-West,Partner,Keyboard,Accessories,7.0,1931.0,925.0,0.2,328.0,Card,Completed
10049,2026-07-29,C1199,B2B,CZ-Central,Sales Rep,Desk 140,Furniture,1.0,8974.0,6285.0,0.15,394.0,Card,Cancelled
10050,2026-06-19,C1046,B2B,SK-East,Sales Rep,Bookshelf,Furniture,2.0,5468.0,3573.0,0.0,304.0,Invoice,Returned
10051,2026-02-20,C1254,B2C,SK-West,Partner,Webcam,Accessories,3.0,2302.0,1339.0,0.15,348.0,Invoice,Completed
10052,2026-04-06,C1243,B2C,CZ-West,Online,Laptop Pro 14,Electronics,2.0,31247.0,21479.0,0.15,237.0,Card,Completed
10053,2026-05-30,C1294,B2B,SK-East,Sales Rep,Laptop Air 13,Electronics,4.0,20084.0,16658.0,,386.0,Invoice,Completed
10054,2026-03-19,C1076,B2C,SK-East,Sales Rep,Monitor 27,Electronics,1.0,7647.0,4977.0,0.0,380.0,Bank Transfer,Completed
10055,2026-07-18,C1090,B2B,CZ-West,Sales Rep,Monitor 34,Electronics,4.0,,10218.0,0.05,476.0,Bank Transfer,Returned
10056,2026-07-11,C1184,B2B,SK-West,Sales Rep,Docking Station,Accessories,4.0,4723.0,2707.0,0.0,471.0,Bank Transfer,Completed
10057,2026-03-28,C1122,B2B,CZ-East,Sales Rep,Webcam,Accessories,2.0,2171.0,1192.0,0.0,256.0,Bank Transfer,Completed
10058,2026-01-21,C1184,B2B,CZ-Central,Partner,Monitor 34,Electronics,5.0,14190.0,9640.0,0.05,346.0,Bank Transfer,Completed
10059,2026-04-01,C1187,B2B,SK-East,Partner,Monitor 27,Electronics,4.0,9131.0,5246.0,0.1,333.0,Bank Transfer,Returned
10060,2026-02-26,C1016,B2B,SK-East,Partner,Office Chair,Furniture,6.0,6360.0,3767.0,0.05,406.0,Invoice,Completed
10061,2026-02-28,C1100,B2B,SK-East,Partner,Laptop Air 13,Electronics,4.0,21494.0,17014.0,0.1,273.0,Invoice,Completed
10062,2026-05-29,C1022,B2C,CZ-East,Partner,Mouse,Accessories,2.0,1053.0,489.0,0.0,244.0,Bank Transfer,Completed
10063,2026-05-25,C1211,B2C,CZ-East,Sales Rep,Bookshelf,Furniture,2.0,5500.0,3514.0,0.0,431.0,Card,Returned
10064,2026-03-29,C1195,B2B,CZ-East,Sales Rep,Monitor 27,Electronics,6.0,8672.0,4998.0,0.15,507.0,Invoice,Completed
10065,2026-01-17,C1226,B2B,SK-East,Partner,Keyboard,Accessories,6.0,1929.0,1041.0,0.0,188.0,Card,Completed
10066,2026-02-10,C1080,B2B,SK-East,Partner,Monitor 34,Electronics,3.0,13451.0,10250.0,0.05,210.0,Invoice,Completed
10067,2026-05-17,C1201,B2C,CZ-Central,Partner,Executive Chair,Furniture,3.0,11786.0,7662.0,0.0,419.0,Invoice,Completed
10068,2026-04-22,C1036,B2C,CZ-Central,Sales Rep,Office Chair,Furniture,6.0,6957.0,3886.0,0.15,215.0,Bank Transfer,Completed
10069,2026-04-22,C1031,B2B,CZ-Central,Online,Printer,Office,4.0,6871.0,4763.0,0.05,213.0,Card,Completed
10070,2026-05-08,C1124,,CZ-West,Partner,Laptop Pro 14,Electronics,7.0,29851.0,21561.0,0.05,310.0,Bank Transfer,Completed
10071,2026-07-26,C1186,B2B,SK-East,Sales Rep,Desk 180,Furniture,6.0,13866.0,8810.0,0.15,0.0,Invoice,Completed
10072,2026-01-16,C1125,B2C,CZ-West,Partner,Paper Shredder,Office,1.0,3583.0,1811.0,0.05,353.0,Card,Completed
10073,2026-06-04,C1224,B2C,CZ-East,Partner,Printer,Office,7.0,6724.0,4389.0,0.0,261.0,Invoice,Cancelled
10074,2026-03-10,C1162,B2C,CZ-Central,Partner,Docking Station,Accessories,7.0,4330.0,2638.0,0.0,232.0,Bank Transfer,Returned
10075,2026-01-08,C1111,B2C,SK-West,Online,Monitor 34,Electronics,1.0,14349.0,9395.0,0.1,121.0,Invoice,Returned
10076,2026-03-24,C1133,B2B,SK-East,Sales Rep,Bookshelf,Furniture,6.0,5681.0,3414.0,0.05,258.0,Card,Returned
10077,2026-01-07,C1120,B2C,CZ-Central,Partner,Office Chair,Furniture,6.0,6047.0,4113.0,0.0,0.0,Invoice,Cancelled
10078,2026-05-30,C1203,B2B,SK-West,Sales Rep,Keyboard,Accessories,5.0,1865.0,969.0,0.15,164.0,Bank Transfer,Returned
10079,2026-06-19,C1299,B2B,SK-East,Partner,Docking Station,Accessories,4.0,4243.0,2664.0,0.0,406.0,Invoice,Returned
10080,2026-01-13,C1024,B2B,CZ-Central,Online,Executive Chair,Furniture,3.0,11621.0,8162.0,0.0,554.0,Bank Transfer,Completed
10081,2026-04-06,C1190,B2C,CZ-East,Partner,Keyboard,Accessories,7.0,2038.0,967.0,0.2,,Card,Completed
10082,2026-03-23,C1064,B2C,SK-West,Sales Rep,Paper Shredder,Office,2.0,2890.0,1937.0,0.3,0.0,Card,Completed
10083,2026-02-20,C1096,B2C,SK-West,Sales Rep,Printer,Office,3.0,7045.0,5148.0,0.05,374.0,Bank Transfer,Cancelled
10084,2026-07-19,C1095,,CZ-East,Sales Rep,Office Chair,Furniture,7.0,6006.0,3832.0,0.0,431.0,Card,Cancelled
10085,2026-04-18,C1129,B2B,CZ-Central,Sales Rep,Bookshelf,Furniture,7.0,5920.0,3185.0,0.35,210.0,Card,Cancelled
10086,2026-02-25,C1233,B2B,SK-East,Partner,Docking Station,Accessories,4.0,4480.0,2674.0,0.3,312.0,,Completed
10087,2026-03-05,C1118,B2B,CZ-West,Online,Webcam,Accessories,4.0,2493.0,1299.0,0.0,175.0,Bank Transfer,Completed
10088,2026-01-07,C1068,B2B,CZ-East,Online,Office Chair,Furniture,3.0,6455.0,3845.0,0.15,307.0,Invoice,Completed
10089,2026-05-24,C1068,B2C,SK-West,Online,Printer,Office,3.0,7017.0,4844.0,0.0,163.0,Card,Completed
10090,2026-03-08,C1046,B2B,SK-West,Sales Rep,Laptop Pro 14,Electronics,1.0,29382.0,21535.0,0.0,433.0,Bank Transfer,Completed
10091,2026-04-30,C1177,B2B,CZ-West,Partner,Laptop Air 13,Electronics,2.0,19456.0,16465.0,0.15,572.0,Invoice,Cancelled
10092,2026-03-03,C1023,B2B,SK-West,Partner,Printer,Office,2.0,6776.0,4509.0,0.05,570.0,Card,Completed
10093,2026-06-17,C1180,B2C,CZ-West,Partner,Executive Chair,Furniture,1.0,12792.0,7793.0,0.0,409.0,Bank Transfer,Completed
10094,2026-05-28,C1037,B2C,CZ-West,Sales Rep,Laptop Pro 14,Electronics,2.0,26681.0,22840.0,0.1,510.0,Card,Completed
10095,2026-01-31,C1207,B2C,CZ-West,Sales Rep,Bookshelf,Furniture,5.0,5733.0,3508.0,0.2,313.0,Invoice,Completed
10096,2026-03-23,C1054,B2B,SK-West,Online,Executive Chair,Furniture,1.0,12078.0,7613.0,0.05,168.0,Bank Transfer,Completed
10097,2026-03-03,C1199,B2C,SK-East,Partner,Laptop Air 13,Electronics,3.0,,16320.0,0.05,468.0,Card,Completed
10098,2026-02-08,C1080,B2C,SK-West,Partner,Desk 140,Furniture,4.0,9084.0,6193.0,0.1,474.0,Card,Completed
10099,2026-04-19,C1003,B2C,SK-East,Sales Rep,Paper Shredder,Office,7.0,3089.0,1919.0,0.0,232.0,Bank Transfer,Completed
10100,2026-04-09,C1102,B2B,SK-East,Partner,Desk 180,Furniture,2.0,12018.0,8729.0,0.0,157.0,Bank Transfer,Cancelled
10101,2026-03-21,C1155,B2B,CZ-West,Partner,Desk 140,Furniture,3.0,9548.0,5448.0,0.1,539.0,Invoice,Returned
10102,2026-06-30,C1063,B2C,SK-East,Sales Rep,Printer,Office,6.0,6765.0,4968.0,0.35,273.0,Invoice,Returned
10103,2026-07-06,C1118,B2B,SK-West,Sales Rep,Paper Shredder,Office,5.0,3270.0,2142.0,0.05,221.0,Invoice,Completed
10104,2026-01-15,C1092,B2C,CZ-West,Sales Rep,Office Chair,Furniture,2.0,6212.0,3943.0,0.0,367.0,Card,Cancelled
10105,2026-02-21,C1029,B2C,CZ-West,Sales Rep,Desk 180,Furniture,2.0,12855.0,8930.0,0.0,436.0,Bank Transfer,Completed
10106,2026-04-06,C1202,B2B,SK-East,Online,Office Chair,Furniture,2.0,6304.0,,0.2,329.0,Card,Completed
10107,2026-03-03,C1229,B2B,SK-East,Sales Rep,Monitor 27,Electronics,3.0,7887.0,5247.0,0.2,164.0,Card,Completed
10108,2026-07-17,C1120,B2C,CZ-East,Online,Monitor 27,Electronics,3.0,7696.0,4680.0,0.15,203.0,Card,Completed
10109,2026-02-03,C1255,B2C,CZ-East,Online,Docking Station,Accessories,1.0,4030.0,2607.0,0.0,,Invoice,Completed
10110,2026-01-10,C1115,B2B,CZ-West,Partner,Bookshelf,Furniture,2.0,5391.0,3788.0,0.15,141.0,Bank Transfer,Completed
10111,2026-03-28,C1134,B2C,CZ-East,Partner,Desk 140,Furniture,1.0,8568.0,6341.0,0.15,521.0,Card,Completed
10112,2026-03-04,C1084,B2B,CZ-East,Sales Rep,Monitor 34,Electronics,2.0,13177.0,9847.0,0.1,297.0,Bank Transfer,Completed
10113,2026-04-02,C1039,B2B,CZ-West,Sales Rep,Printer,Office,3.0,6902.0,4784.0,0.05,551.0,Bank Transfer,Cancelled
10114,2026-02-04,C1274,B2C,CZ-West,Sales Rep,Monitor 34,Electronics,2.0,14684.0,10139.0,0.15,444.0,Invoice,Completed
10115,2026-04-22,C1056,B2C,CZ-West,Partner,Office Chair,Furniture,5.0,5110.0,3960.0,0.1,79.0,Invoice,Returned
10116,2026-04-28,C1191,B2C,SK-East,Online,Mouse,Accessories,1.0,1190.0,510.0,0.05,320.0,Card,Cancelled
10117,2026-04-02,C1191,B2B,CZ-East,Partner,Office Chair,Furniture,3.0,6187.0,3687.0,,,Card,Completed
10118,2026-06-15,C1215,B2B,CZ-Central,Sales Rep,Monitor 27,Electronics,5.0,8006.0,5328.0,0.0,174.0,,Completed
10119,2026-04-10,C1285,B2C,CZ-West,Partner,Laptop Air 13,Electronics,5.0,19889.0,16551.0,0.1,372.0,Bank Transfer,Completed
10120,2026-06-06,C1108,B2C,SK-West,Sales Rep,Paper Shredder,Office,6.0,3316.0,1877.0,0.05,442.0,Invoice,Returned
10121,2026-03-26,C1168,B2B,SK-West,Sales Rep,Mouse,Accessories,7.0,1151.0,523.0,0.15,435.0,Bank Transfer,Returned
10122,2026-04-08,C1219,B2C,CZ-Central,Online,Docking Station,Accessories,4.0,4201.0,2737.0,0.1,268.0,Invoice,Completed
10123,2026-02-11,C1233,B2C,CZ-Central,Partner,Printer,Office,2.0,6215.0,4504.0,0.1,327.0,Card,Completed
10124,2026-03-01,C1230,B2C,CZ-East,Sales Rep,Keyboard,Accessories,5.0,1936.0,996.0,0.05,25.0,Invoice,Completed
10125,2026-05-12,C1096,B2C,CZ-East,Partner,Keyboard,Accessories,1.0,2035.0,988.0,0.1,388.0,Invoice,Cancelled
10126,2026-03-18,C1211,B2B,CZ-East,Sales Rep,Desk 140,Furniture,4.0,9330.0,6265.0,0.0,456.0,Invoice,Completed
10127,2026-02-21,C1273,B2C,SK-West,Online,Printer,Office,3.0,7125.0,4520.0,0.2,146.0,Invoice,Completed
10128,2026-05-12,C1138,B2C,CZ-Central,Sales Rep,Office Chair,Furniture,4.0,6748.0,3923.0,0.0,337.0,Card,Completed
10129,2026-06-21,C1258,B2B,SK-East,Online,Desk 140,Furniture,3.0,8556.0,6085.0,0.0,384.0,Card,Returned
10130,2026-05-08,C1007,B2B,CZ-East,Sales Rep,Bookshelf,Furniture,1.0,5523.0,3277.0,0.0,352.0,Invoice,Cancelled
10131,2026-07-25,C1020,B2B,SK-West,Sales Rep,Keyboard,Accessories,5.0,1883.0,997.0,0.0,335.0,Card,Returned
10132,2026-05-01,C1238,B2C,CZ-West,Partner,Printer,Office,2.0,6785.0,4588.0,0.05,431.0,Card,Cancelled
10133,2026-04-19,C1028,B2B,CZ-East,Online,Laptop Pro 14,Electronics,1.0,29758.0,22233.0,0.0,478.0,Card,Completed
10134,2026-06-10,C1118,B2B,,Partner,Desk 180,Furniture,3.0,13442.0,8417.0,0.15,502.0,Invoice,Returned
10135,2026-04-14,C1267,B2B,CZ-East,Online,Monitor 27,Electronics,2.0,7948.0,5216.0,0.0,269.0,Card,Completed
10136,2026-02-17,C1224,B2C,CZ-Central,Online,Laptop Pro 14,Electronics,1.0,27600.0,21198.0,0.0,282.0,Card,Completed
10137,2026-06-30,C1246,B2C,SK-West,Sales Rep,Laptop Pro 14,Electronics,2.0,28444.0,20813.0,0.3,297.0,Card,Completed
10138,2026-02-12,C1187,B2B,SK-West,Partner,Bookshelf,Furniture,4.0,5601.0,3741.0,0.0,40.0,Invoice,Completed
10139,2026-01-19,C1052,B2C,CZ-West,Partner,Bookshelf,Furniture,3.0,5942.0,3644.0,0.0,455.0,Bank Transfer,Completed
10140,2026-07-12,C1185,B2B,CZ-East,Sales Rep,Docking Station,Accessories,3.0,4200.0,2859.0,0.15,122.0,Invoice,Completed
10141,2026-06-04,C1169,B2C,CZ-West,Partner,Monitor 34,Electronics,1.0,13182.0,10763.0,0.1,262.0,Bank Transfer,Completed
10142,2026-05-11,C1047,B2B,SK-West,Online,Office Chair,Furniture,2.0,5829.0,3887.0,0.15,213.0,Card,Completed
10143,2026-03-08,C1169,B2C,SK-East,Partner,Monitor 27,Electronics,4.0,7521.0,5332.0,0.0,127.0,Bank Transfer,Returned
10144,2026-06-26,C1102,B2B,CZ-East,Sales Rep,Monitor 27,Electronics,7.0,8626.0,5410.0,0.2,425.0,Bank Transfer,Completed
10145,2026-05-23,C1064,B2B,CZ-West,Sales Rep,Keyboard,Accessories,1.0,1779.0,928.0,0.0,379.0,Invoice,Completed
10146,2026-03-14,C1125,B2B,SK-East,Partner,Keyboard,Accessories,3.0,1800.0,1069.0,0.0,444.0,Card,Cancelled
10147,2026-01-21,C1032,B2C,SK-West,Online,Desk 180,Furniture,6.0,,8099.0,0.0,505.0,Invoice,Returned
10148,2026-01-31,C1025,B2C,SK-East,Partner,Office Chair,Furniture,7.0,5865.0,3982.0,0.0,239.0,Invoice,Completed
10149,2026-07-25,C1149,B2C,CZ-Central,Online,Printer,Office,3.0,6936.0,4761.0,0.05,324.0,Card,Cancelled
10150,2026-06-17,C1240,B2C,CZ-Central,Partner,Laptop Air 13,Electronics,7.0,20584.0,17504.0,0.0,466.0,Invoice,Cancelled
10151,2026-03-24,C1098,B2B,CZ-East,Sales Rep,Desk 180,Furniture,6.0,13649.0,9440.0,0.0,362.0,Card,Cancelled
10152,2026-01-15,C1258,B2B,SK-West,Sales Rep,Mouse,Accessories,3.0,1215.0,510.0,0.1,334.0,Invoice,Returned
10153,2026-02-24,C1248,B2C,SK-East,Partner,Office Chair,Furniture,4.0,6446.0,4001.0,0.1,535.0,Bank Transfer,Completed
10154,2026-07-13,C1024,B2B,CZ-Central,Partner,Paper Shredder,Office,5.0,3204.0,1854.0,,371.0,Card,Cancelled
10155,2026-04-15,C1139,B2C,CZ-Central,Partner,Monitor 34,Electronics,2.0,13950.0,9898.0,0.0,317.0,Bank Transfer,Completed
10156,2026-05-22,C1023,B2C,SK-West,Partner,Keyboard,Accessories,2.0,1855.0,897.0,0.05,438.0,Invoice,Completed
10157,2026-05-05,C1263,B2C,SK-East,Partner,Paper Shredder,Office,7.0,2800.0,1947.0,0.05,285.0,Bank Transfer,Cancelled
10158,2026-07-16,C1020,B2B,SK-West,Online,Docking Station,Accessories,3.0,4112.0,2573.0,0.1,225.0,Invoice,Cancelled
10159,2026-01-06,C1156,B2B,CZ-Central,Partner,Laptop Pro 14,Electronics,7.0,26325.0,22419.0,0.0,241.0,Bank Transfer,Completed
10160,2026-05-03,C1147,B2B,CZ-West,Online,Laptop Pro 14,Electronics,4.0,29408.0,20040.0,0.0,424.0,Bank Transfer,Cancelled
10161,2026-03-27,C1242,B2C,SK-West,Sales Rep,Monitor 27,Electronics,2.0,8781.0,5297.0,0.05,700.0,Bank Transfer,Completed
10162,2026-03-18,C1061,B2C,CZ-East,Online,Docking Station,Accessories,1.0,4067.0,2589.0,0.2,366.0,Bank Transfer,Cancelled
10163,2026-01-10,C1280,B2C,CZ-East,Online,Mouse,Accessories,3.0,1015.0,527.0,0.15,385.0,Invoice,Cancelled
10164,2026-05-29,C1237,B2B,CZ-East,Online,Executive Chair,Furniture,3.0,11630.0,7879.0,0.2,441.0,Card,Cancelled
10165,2026-01-20,C1260,B2B,SK-East,Sales Rep,Monitor 27,Electronics,5.0,8355.0,4885.0,0.2,377.0,Card,Cancelled
10166,2026-03-05,C1229,B2B,CZ-East,Sales Rep,Bookshelf,Furniture,4.0,5660.0,3541.0,0.2,492.0,Invoice,Completed
10167,2026-03-17,C1117,B2B,SK-East,Partner,Keyboard,Accessories,2.0,2042.0,937.0,0.1,192.0,Bank Transfer,Completed
10168,2026-03-08,C1199,B2C,SK-East,Partner,Laptop Pro 14,Electronics,2.0,25655.0,22994.0,0.0,294.0,Card,Completed
10169,2026-01-11,C1046,B2B,CZ-East,Sales Rep,Executive Chair,Furniture,3.0,11549.0,7423.0,0.05,356.0,Bank Transfer,Returned
10170,2026-04-17,C1033,B2B,CZ-East,Online,Monitor 34,Electronics,6.0,15760.0,9185.0,0.2,512.0,Bank Transfer,Completed
10171,2026-07-18,C1113,B2B,SK-West,Online,Desk 140,Furniture,6.0,8784.0,6049.0,0.0,516.0,Invoice,Completed
10172,2026-06-19,C1246,B2B,CZ-East,Sales Rep,Docking Station,Accessories,2.0,4365.0,2781.0,0.2,190.0,Bank Transfer,Completed
10173,2026-04-17,C1131,B2C,CZ-West,Partner,Laptop Pro 14,Electronics,7.0,23775.0,20332.0,0.0,227.0,Bank Transfer,Completed
10174,2026-06-01,C1084,B2B,SK-West,Online,Monitor 34,Electronics,5.0,14142.0,10712.0,0.0,277.0,Invoice,Returned
10175,2026-05-17,C1234,B2B,CZ-Central,Sales Rep,Desk 180,Furniture,6.0,14036.0,8859.0,0.15,333.0,Bank Transfer,Returned
10176,2026-07-15,C1013,B2C,CZ-East,Sales Rep,Desk 180,Furniture,7.0,12239.0,9064.0,0.1,326.0,Bank Transfer,Completed
10177,2026-06-06,C1039,B2C,CZ-Central,Sales Rep,Executive Chair,Furniture,3.0,12703.0,7596.0,0.1,293.0,Card,Completed
10178,2026-06-18,C1218,B2C,CZ-West,Partner,Webcam,Accessories,2.0,2646.0,1323.0,0.05,336.0,Invoice,Completed
10179,2026-03-17,C1143,B2C,CZ-East,Partner,Bookshelf,Furniture,6.0,5710.0,3525.0,0.0,317.0,Invoice,Completed
10180,2026-03-30,C1131,B2C,CZ-Central,Online,Laptop Air 13,Electronics,4.0,22324.0,15646.0,0.1,155.0,Bank Transfer,Completed
10181,2026-02-07,C1140,B2B,CZ-Central,Sales Rep,Monitor 27,Electronics,2.0,8136.0,4762.0,0.1,600.0,,Completed
10182,2026-05-28,C1109,B2B,SK-West,Sales Rep,Docking Station,Accessories,3.0,3697.0,2518.0,0.1,220.0,Card,Cancelled
10183,2026-07-29,C1184,B2C,CZ-West,Partner,Desk 140,Furniture,4.0,8775.0,6054.0,0.1,471.0,Card,Completed
10184,2026-04-09,C1296,B2B,SK-West,Online,Office Chair,Furniture,4.0,6407.0,3948.0,0.05,157.0,Card,Returned
10185,2026-06-28,C1298,B2C,CZ-Central,Partner,Laptop Air 13,Electronics,6.0,23893.0,16229.0,0.0,353.0,Bank Transfer,Completed
10186,2026-04-01,C1224,B2B,SK-West,Partner,Webcam,Accessories,3.0,2284.0,1329.0,0.0,101.0,Invoice,Completed
10187,2026-06-25,C1204,B2C,SK-East,Partner,Laptop Pro 14,Electronics,1.0,27637.0,22060.0,0.1,300.0,Card,Completed
10188,2026-07-29,C1001,B2B,SK-East,Sales Rep,,Furniture,6.0,12172.0,8674.0,0.35,343.0,Invoice,Completed
10189,2026-06-12,C1231,B2C,CZ-East,Sales Rep,Bookshelf,Furniture,5.0,5596.0,3296.0,0.0,324.0,Invoice,Cancelled
10190,2026-02-13,C1101,B2C,,Sales Rep,Laptop Pro 14,Electronics,2.0,28635.0,21871.0,0.0,303.0,Card,Completed
10191,2026-02-11,C1123,B2B,SK-East,Online,Monitor 27,Electronics,,7243.0,4907.0,0.05,218.0,Bank Transfer,Completed
10192,2026-02-21,C1124,B2B,CZ-West,Online,Docking Station,Accessories,7.0,4598.0,2585.0,0.1,479.0,Card,Completed
10193,2026-04-08,C1086,B2C,CZ-Central,Online,Docking Station,Accessories,2.0,4249.0,2676.0,0.1,360.0,Card,Completed
10194,2026-01-05,C1076,B2B,CZ-West,Online,Monitor 27,Electronics,7.0,8152.0,5806.0,0.15,365.0,Invoice,Completed
10195,2026-06-14,C1063,B2C,CZ-West,Partner,Docking Station,Accessories,2.0,4248.0,2822.0,0.15,543.0,Invoice,Completed
